test_id,vehicle_id,test_date,test_class_id,test_type,test_result,test_mileage,postcode_area,make,model,colour,fuel_type,cylinder_capacity,first_use_date,completed_date
349100259,716520988,2024-12-13,4,NT,P,153502.0,BS,BMW,3 SERIES,SILVER,PE,1995,2007-06-23,2024-12-13T11:13:22.000Z
349100259,716520988,2024-12-13,4,NT,P,153502.0,BS,BMW,3 SERIES,SILVER,PE,1995,2007-06-23,2024-12-13T11:13:22.000Z
1303559603,557897630,2024-12-11,4,NT,F,131772.0,HP,MERCEDES-BENZ,C,BLACK,DI,2148,2008-10-17,2024-12-11T21:59:15.000Z
1303559603,557897630,2024-12-11,4,NT,F,131772.0,HP,MERCEDES-BENZ,C,BLACK,DI,2148,2008-10-17,2024-12-11T21:59:15.000Z
1303559603,557897630,2024-12-11,4,NT,F,131772.0,HP,MERCEDES-BENZ,C,BLACK,DI,2148,2008-10-17,2024-12-11T21:59:15.000Z
1450552721,14997156,2024-12-04,4,RT,P,112315.0,WF,VAUXHALL,ASTRA,SILVER,PE,1364,2008-02-20,2024-12-04T13:52:33.000Z
1130295643,14997156,2024-12-02,4,NT,F,112294.0,WF,VAUXHALL,ASTRA,SILVER,PE,1364,2008-02-20,2024-12-02T16:00:12.000Z
539693017,328294284,2024-12-13,4,NT,F,120235.0,S,HONDA,JAZZ,SILVER,PE,1339,2005-12-09,2024-12-13T15:25:03.000Z
1799925409,328294284,2024-12-16,4,RT,P,120240.0,S,HONDA,JAZZ,SILVER,PE,1339,2005-12-09,2024-12-16T10:40:41.000Z
1976484719,395231988,2024-12-16,4,NT,F,87428.0,IP,HYUNDAI,I10,SILVER,PE,1248,2009-05-21,2024-12-16T14:55:30.000Z
1976484719,395231988,2024-12-16,4,NT,F,87428.0,IP,HYUNDAI,I10,SILVER,PE,1248,2009-05-21,2024-12-16T14:55:30.000Z
1233822353,395231988,2024-12-18,4,RT,P,87444.0,IP,HYUNDAI,I10,SILVER,PE,1248,2009-05-21,2024-12-18T08:58:30.000Z
1233822353,395231988,2024-12-18,4,RT,P,87444.0,IP,HYUNDAI,I10,SILVER,PE,1248,2009-05-21,2024-12-18T08:58:30.000Z
255853245,283192616,2024-12-21,4,NT,P,91358.0,PR,MERCEDES-BENZ,VITO,BLACK,DI,2098,2010-11-10,2024-12-21T08:05:33.000Z
255853245,283192616,2024-12-21,4,NT,P,91358.0,PR,MERCEDES-BENZ,VITO,BLACK,DI,2098,2010-11-10,2024-12-21T08:05:33.000Z
456396137,1292806218,2024-12-04,4,RT,P,77917.0,PL,MERCEDES-BENZ,C,SILVER,DI,2148,2008-01-29,2024-12-04T16:25:43.000Z
960062429,1292806218,2024-12-02,4,NT,F,77917.0,PL,MERCEDES-BENZ,C,SILVER,DI,2148,2008-01-29,2024-12-02T09:06:05.000Z
419824671,180899586,2024-12-09,4,NT,F,98604.0,WS,MERCEDES-BENZ,C,GREY,PE,1796,2009-03-30,2024-12-09T12:49:53.000Z
33191099,180899586,2024-12-10,4,RT,P,98604.0,WS,MERCEDES-BENZ,C,GREY,PE,1796,2009-03-30,2024-12-10T09:18:03.000Z
934447305,1108865016,2024-12-12,4,NT,P,107808.0,HU,CITROEN,XSARA,GREY,PE,1997,2005-10-03,2024-12-12T10:50:00.000Z
934447305,1108865016,2024-12-12,4,NT,P,107808.0,HU,CITROEN,XSARA,GREY,PE,1997,2005-10-03,2024-12-12T10:50:00.000Z
934447305,1108865016,2024-12-12,4,NT,P,107808.0,HU,CITROEN,XSARA,GREY,PE,1997,2005-10-03,2024-12-12T10:50:00.000Z
934447305,1108865016,2024-12-12,4,NT,P,107808.0,HU,CITROEN,XSARA,GREY,PE,1997,2005-10-03,2024-12-12T10:50:00.000Z
278399083,1053625236,2024-12-04,4,NT,P,83609.0,G,NISSAN,NOTE,SILVER,DI,1461,2012-01-30,2024-12-04T09:59:07.000Z
1366847541,182187094,2024-12-04,4,RT,P,64917.0,GU,JAGUAR,XF,WHITE,DI,2993,2011-05-31,2024-12-04T14:20:49.000Z
1366847541,182187094,2024-12-04,4,RT,P,64917.0,GU,JAGUAR,XF,WHITE,DI,2993,2011-05-31,2024-12-04T14:20:49.000Z
1366847541,182187094,2024-12-04,4,RT,P,64917.0,GU,JAGUAR,XF,WHITE,DI,2993,2011-05-31,2024-12-04T14:20:49.000Z
685328003,164366420,2024-12-04,4,NT,P,43413.0,NR,HONDA,JAZZ,SILVER,PE,1339,2006-12-20,2024-12-04T09:08:23.000Z
74752331,1152727598,2024-12-04,4,NT,F,99267.0,S,VAUXHALL,CORSA,WHITE,PE,1229,2011-03-03,2024-12-04T15:01:02.000Z
402090329,1152727598,2024-12-05,4,RT,P,99272.0,S,VAUXHALL,CORSA,WHITE,PE,1229,2011-03-03,2024-12-05T14:30:26.000Z
1239156223,129983660,2024-12-09,4,NT,P,62359.0,DE,HYUNDAI,I10,RED,PE,1248,2009-08-18,2024-12-09T11:11:34.000Z
1784508173,1379303198,2024-12-10,4,NT,P,85491.0,WV,VAUXHALL,ASTRA,RED,PE,1364,2010-07-15,2024-12-10T14:20:57.000Z
1500491341,868164044,2024-12-06,4,NT,F,83034.0,W,FORD,S-MAX,BLACK,PE,1997,2012-01-10,2024-12-06T11:47:26.000Z
1500491341,868164044,2024-12-06,4,NT,F,83034.0,W,FORD,S-MAX,BLACK,PE,1997,2012-01-10,2024-12-06T11:47:26.000Z
1045732903,868164044,2024-12-06,4,RT,P,83034.0,W,FORD,S-MAX,BLACK,PE,1997,2012-01-10,2024-12-06T15:49:33.000Z
1045732903,868164044,2024-12-06,4,RT,P,83034.0,W,FORD,S-MAX,BLACK,PE,1997,2012-01-10,2024-12-06T15:49:33.000Z
1695877423,251254504,2024-12-10,4,NT,F,174224.0,HR,HONDA,CR-V,GREY,DI,2199,2011-07-06,2024-12-10T13:53:34.000Z
706394801,251254504,2024-12-11,4,RT,P,174224.0,HR,HONDA,CR-V,GREY,DI,2199,2011-07-06,2024-12-11T09:05:27.000Z
1990762179,44375816,2024-12-03,4,NT,P,144345.0,BS,HONDA,CR-V,SILVER,PE,1998,2002-08-01,2024-12-03T16:58:48.000Z
1005705653,1373973406,2024-12-17,4,RT,P,57750.0,ST,VOLKSWAGEN,GOLF,SILVER,DI,1598,2009-12-31,2024-12-17T14:28:30.000Z
617747313,1373973406,2024-12-17,4,NT,F,57749.0,ST,VOLKSWAGEN,GOLF,SILVER,DI,1598,2009-12-31,2024-12-17T10:21:05.000Z
1013403975,305222644,2024-12-27,4,NT,P,163080.0,M,BMW,X5,BLACK,DI,2993,2003-12-23,2024-12-27T14:07:14.000Z
1013403975,305222644,2024-12-27,4,NT,P,163080.0,M,BMW,X5,BLACK,DI,2993,2003-12-23,2024-12-27T14:07:14.000Z
1013403975,305222644,2024-12-27,4,NT,P,163080.0,M,BMW,X5,BLACK,DI,2993,2003-12-23,2024-12-27T14:07:14.000Z
1013403975,305222644,2024-12-27,4,NT,P,163080.0,M,BMW,X5,BLACK,DI,2993,2003-12-23,2024-12-27T14:07:14.000Z
817353033,1377022804,2024-12-09,4,NT,F,98833.0,GL,LAND ROVER,DEFENDER,RED,DI,2495,2002-05-13,2024-12-09T09:27:40.000Z
190209885,1377022804,2024-12-09,4,RT,P,98836.0,GL,LAND ROVER,DEFENDER,RED,DI,2495,2002-05-13,2024-12-09T11:55:12.000Z
1761054897,769166612,2024-12-11,4,NT,P,80778.0,BB,TOYOTA,AYGO,BLUE,PE,998,2009-12-23,2024-12-11T13:01:10.000Z
