rfr_id|test_class_id|test_item_id|minor_item|rfr_deficiency_category|rfr_desc|rfr_loc_marker|rfr_insp_manual_desc|rfr_advisory_text|test_item_set_section_id
4|1|3|Y|Pre-EU Directive|missing|N|an obligatory lamp missing||1
4|2|3|Y|Pre-EU Directive|missing|N|an obligatory lamp missing||1
5|1|3|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
5|2|3|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
6|1|3|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
6|2|3|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
7|1|3|Y|Pre-EU Directive|insecure|N|an insecure lamp||1
7|2|3|Y|Pre-EU Directive|insecure|N|an insecure lamp||1
8|1|3|Y|Pre-EU Directive|obscured more than 50%|N|is obscured or does not face the front or rear as appropriate|obscured but not more than 50%|1
8|2|3|Y|Pre-EU Directive|obscured more than 50%|N|is obscured or does not face the front or rear as appropriate|obscured but not more than 50%|1
9|1|3|Y|Pre-EU Directive|does not face the front|N|is obscured or does not face the front or rear as appropriate||1
9|2|3|Y|Pre-EU Directive|does not face the front|N|is obscured or does not face the front or rear as appropriate||1
10|1|3|Y|Pre-EU Directive|incorrect colour|N|a front position lamp shows a light other than WHITE to the front, (or yellow if incorporated in a yellow headlamp)|slightly discoloured|1
10|2|3|Y|Pre-EU Directive|incorrect colour|N|a front position lamp shows a light other than WHITE to the front, (or yellow if incorporated in a yellow headlamp)|slightly discoloured|1
11|1|3|Y|Pre-EU Directive|does not illuminate immediately when switched on|N|a lamp which does not illuminate immediately it is switched on||1
11|2|3|Y|Pre-EU Directive|does not illuminate immediately when switched on|N|a lamp which does not illuminate immediately it is switched on||1
12|1|9|Y|Pre-EU Directive|do not illuminate immediately when switched on|N|a lamp which does not illuminate immediately it is switched on||1
12|2|9|Y|Pre-EU Directive|do not illuminate immediately when switched on|N|a lamp which does not illuminate immediately it is switched on||1
13|1|3|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
13|2|3|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
14|1|3|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
14|2|3|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
15|1|9|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
15|2|9|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
16|1|9|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
16|2|9|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
17|1|3|Y|Pre-EU Directive|flickers when tapped lightly by hand|N|flickers when tapped lightly by hand||1
17|2|3|Y|Pre-EU Directive|flickers when tapped lightly by hand|N|flickers when tapped lightly by hand||1
18|1|4|Y|Pre-EU Directive|incorrect colour|N|a rear position lamp shows a light other than RED to the rear|slightly discoloured|1
18|2|4|Y|Pre-EU Directive|incorrect colour|N|a rear position lamp shows a light other than RED to the rear|slightly discoloured|1
19|1|4|Y|Pre-EU Directive|does not face the rear|N|is obscured or does not face the front or rear as appropriate||1
19|2|4|Y|Pre-EU Directive|does not face the rear|N|is obscured or does not face the front or rear as appropriate||1
20|1|6|Y|Pre-EU Directive|does not face the rear|N|is obscured or does not face the front or rear as appropriate||1
20|2|6|Y|Pre-EU Directive|does not face the rear|N|is obscured or does not face the front or rear as appropriate||1
22|1|4|Y|Pre-EU Directive|missing|N|missing||1
22|2|4|Y|Pre-EU Directive|missing|N|missing||1
23|1|4|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
23|2|4|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
24|1|4|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
24|2|4|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
25|1|4|Y|Pre-EU Directive|insecure|N|an insecure lamp||1
25|2|4|Y|Pre-EU Directive|insecure|N|an insecure lamp||1
26|1|4|Y|Pre-EU Directive|obscured more than 50%|N|is obscured or does not face the front or rear as appropriate|obscured but not more than 50%|1
26|2|4|Y|Pre-EU Directive|obscured more than 50%|N|is obscured or does not face the front or rear as appropriate|obscured but not more than 50%|1
28|1|4|Y|Pre-EU Directive|does not illuminate immediately when it is switched on|N|a lamp which does not illuminate immediately it is switched on||1
28|2|4|Y|Pre-EU Directive|does not illuminate immediately when it is switched on|N|a lamp which does not illuminate immediately it is switched on||1
29|1|4|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
29|2|4|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
30|1|4|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
30|2|4|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
31|1|4|Y|Pre-EU Directive|flickers when tapped lightly by hand|N|flickers when tapped lightly by hand||1
31|2|4|Y|Pre-EU Directive|flickers when tapped lightly by hand|N|flickers when tapped lightly by hand||1
32|1|6|Y|Pre-EU Directive|incorrect colour|N|a rear position lamp shows a light other than RED to the rear|slightly discoloured|1
32|2|6|Y|Pre-EU Directive|incorrect colour|N|a rear position lamp shows a light other than RED to the rear|slightly discoloured|1
33|1|5|Y|Pre-EU Directive|missing|N|missing||1
33|2|5|Y|Pre-EU Directive|missing|N|missing||1
34|1|5|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
34|2|5|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
35|1|5|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
35|2|5|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
36|1|5|Y|Pre-EU Directive|insecure|N|an insecure lamp||1
36|2|5|Y|Pre-EU Directive|insecure|N|an insecure lamp||1
37|1|5|Y|Pre-EU Directive|obscured more than 50%|N|is obscured or does not face the front or rear as appropriate|obscured but not more than 50%|1
37|2|5|Y|Pre-EU Directive|obscured more than 50%|N|is obscured or does not face the front or rear as appropriate|obscured but not more than 50%|1
38|1|5|Y|Pre-EU Directive|does not face the front|N|is obscured or does not face the front or rear as appropriate||1
38|2|5|Y|Pre-EU Directive|does not face the front|N|is obscured or does not face the front or rear as appropriate||1
39|1|5|Y|Pre-EU Directive|incorrect colour|N|a front position lamp shows a light other than WHITE to the front, (or yellow if incorporated in a yellow headlamp)|slightly discoloured|1
39|2|5|Y|Pre-EU Directive|incorrect colour|N|a front position lamp shows a light other than WHITE to the front, (or yellow if incorporated in a yellow headlamp)|slightly discoloured|1
40|1|5|Y|Pre-EU Directive|does not illuminate immediately when it is switched on|N|a lamp which does not illuminate immediately it is switched on||1
40|2|5|Y|Pre-EU Directive|does not illuminate immediately when it is switched on|N|a lamp which does not illuminate immediately it is switched on||1
41|1|5|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
41|2|5|Y|Pre-EU Directive|adversely affected by the operation of another lamp|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of another lamp|1
42|1|5|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
42|2|5|Y|Pre-EU Directive|adversely affected by the operation of the horn|N|adversely affected by the operation of another lamp or the horn|slightly affected by the operation of the horn|1
43|1|5|Y|Pre-EU Directive|flickers when tapped lightly by hand|N|flickers when tapped lightly by hand||1
43|2|5|Y|Pre-EU Directive|flickers when tapped lightly by hand|N|flickers when tapped lightly by hand||1
44|1|199|Y|Pre-EU Directive|incorrect colour|N|a rear position lamp shows a light other than RED to the rear|slightly discoloured|195
44|2|199|Y|Pre-EU Directive|incorrect colour|N|a rear position lamp shows a light other than RED to the rear|slightly discoloured|195
45|1|6|Y|Pre-EU Directive|missing|N|missing||1
45|2|6|Y|Pre-EU Directive|missing|N|missing||1
46|1|6|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
46|2|6|Y|Pre-EU Directive|damaged and function impaired|N|so damaged or deteriorated that its function is impaired|damaged but function not impaired|1
47|1|6|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
47|2|6|Y|Pre-EU Directive|deteriorated and function impaired|N|so damaged or deteriorated that its function is impaired|deteriorated but function not impaired|1
