test_item_id|test_class_id|parent_id|test_item_set_section_id|item_name
0|1|0|0|Vehicle
0|2|0|0|Vehicle
0|3|0|0|Vehicle
0|4|0|0|Vehicle
0|5|0|0|Vehicle
0|7|0|0|Vehicle
1|1|0|1|Motorcycle lighting and signalling
1|2|0|1|Motorcycle lighting and signalling
2|1|1|1|Position lamps
2|2|1|1|Position lamps
3|1|2|1|Motorcycle front
3|2|2|1|Motorcycle front
4|1|2|1|Motorcycle rear
4|2|2|1|Motorcycle rear
5|1|2|1|Sidecar front
5|2|2|1|Sidecar front
6|1|2|1|Sidecar rear
6|2|2|1|Sidecar rear
7|1|2|1|Switch
7|2|2|1|Switch
9|1|2|1|All position lamps
9|2|2|1|All position lamps
14|1|1|1|Headlamps
14|2|1|1|Headlamps
15|1|14|1|Headlamp defects which don't require an aim check on retest
15|2|14|1|Headlamp defects which don't require an aim check on retest
16|1|15|1|Headlamp
16|2|15|1|Headlamp
17|1|15|1|Switch
17|2|15|1|Switch
18|1|15|1|Dipswitch
18|2|15|1|Dipswitch
19|1|14|1|Headlamp defects which do require an aim check on retest
19|2|14|1|Headlamp defects which do require an aim check on retest
20|1|19|1|Headlamp
20|2|19|1|Headlamp
21|1|19|1|Switch
21|2|19|1|Switch
22|1|19|1|Dipswitch
22|2|19|1|Dipswitch
23|1|1|1|Stop lamp
23|2|1|1|Stop lamp
26|1|1|1|Rear reflectors
26|2|1|1|Rear reflectors
33|1|1|1|Direction indicators
33|2|1|1|Direction indicators
34|1|33|1|Motorcycle
34|2|33|1|Motorcycle
35|1|33|1|Side car
35|2|33|1|Side car
36|1|33|1|Tell tales
36|2|33|1|Tell tales
37|1|33|1|Switch
37|2|33|1|Switch
38|1|33|1|Direction indicators
38|2|33|1|Direction indicators
39|1|1|1|Headlamp aim
39|2|1|1|Headlamp aim
40|1|1|1|Headlamp aim (old)
40|2|1|1|Headlamp aim (old)
41|1|40|1|European
41|2|40|1|European
42|1|40|1|British american (main)
42|2|40|1|British american (main)
43|1|40|1|British american (dip)
43|2|40|1|British american (dip)
44|1|1|1|Horn
44|2|1|1|Horn
50|1|0|50|Motorcycle steering and suspension
50|2|0|50|Motorcycle steering and suspension
51|1|50|50|Steering control
51|2|50|50|Steering control
52|1|51|50|Handlebars
52|2|51|50|Handlebars
53|1|52|50|Mounting
53|2|52|50|Mounting
54|1|52|50|Condition
54|2|52|50|Condition
55|1|52|50|Handgrips
55|2|52|50|Handgrips
56|1|51|50|Fork yoke
56|2|51|50|Fork yoke
57|1|51|50|Free movement
57|2|51|50|Free movement
58|1|57|50|Clearance
58|2|57|50|Clearance
59|1|57|50|Restriction
59|2|57|50|Restriction
60|1|57|50|Fairings
60|2|57|50|Fairings
61|1|57|50|Leg shield
61|2|57|50|Leg shield
62|1|51|50|Damper
62|2|51|50|Damper
63|1|51|50|Lock stop
63|2|51|50|Lock stop
70|1|50|50|Steering systems
70|2|50|50|Steering systems
71|1|70|50|Movement
71|2|70|50|Movement
72|1|70|50|Headbearings
72|2|70|50|Headbearings
73|1|70|50|Linkage
73|2|70|50|Linkage
80|1|50|50|Front suspension
80|2|50|50|Front suspension
81|1|80|50|Suspension component
81|2|80|50|Suspension component
82|1|80|50|Spring
82|2|80|50|Spring
83|1|80|50|Shock absorber
83|2|80|50|Shock absorber
84|1|80|50|Operation
84|2|80|50|Operation
85|1|80|50|Prescribed areas
85|2|80|50|Prescribed areas
90|1|50|50|Front wheel
90|2|50|50|Front wheel
91|1|50|50|Front wheel bearings
91|2|50|50|Front wheel bearings
92|1|50|50|Mudguard
92|2|50|50|Mudguard
97|1|50|50|Rear suspension
97|2|50|50|Rear suspension
98|1|97|50|Component
98|2|97|50|Component
99|1|97|50|Spring
99|2|97|50|Spring
100|1|97|50|Shock absorber
100|2|97|50|Shock absorber
101|1|97|50|Mono-shock
101|2|97|50|Mono-shock
102|1|97|50|Bearings
102|2|97|50|Bearings
103|1|97|50|Bushes
103|2|97|50|Bushes
104|1|97|50|Prescribed areas
104|2|97|50|Prescribed areas
105|1|97|50|Operation
105|2|97|50|Operation
110|1|50|50|Rear wheel
110|2|50|50|Rear wheel
111|1|50|50|Rear wheel bearings
111|2|50|50|Rear wheel bearings
112|1|50|50|Wheel alignment
112|2|50|50|Wheel alignment
120|1|0|120|Motorcycle brakes
120|2|0|120|Motorcycle brakes
121|1|120|120|Braking system
121|2|120|120|Braking system
122|1|121|120|Presence
122|2|121|120|Presence
123|1|121|120|Brake controls
123|2|121|120|Brake controls
124|1|123|120|Pedal
124|2|123|120|Pedal
125|1|123|120|Handlebar lever
125|2|123|120|Handlebar lever
126|1|123|120|Hydraulic control
126|2|123|120|Hydraulic control
127|1|121|120|Mechanical
127|2|121|120|Mechanical
128|1|127|120|Rod
128|2|127|120|Rod
129|1|127|120|Lever
129|2|127|120|Lever
130|1|127|120|Cable
130|2|127|120|Cable
131|1|127|120|Linkage
131|2|127|120|Linkage
133|1|127|120|Locking device
133|2|127|120|Locking device
134|1|121|120|Hydraulic system
134|2|121|120|Hydraulic system
135|1|134|120|Fluid reservoir
135|2|134|120|Fluid reservoir
136|1|134|120|Master cylinder
136|2|134|120|Master cylinder
137|1|134|120|Brake cylinder
137|2|134|120|Brake cylinder
138|1|134|120|Pipes
138|2|134|120|Pipes
139|1|134|120|Hoses
139|2|134|120|Hoses
140|1|134|120|Linked system
140|2|134|120|Linked system
141|1|134|120|Union
141|2|134|120|Union
142|1|121|120|Component condition
142|2|121|120|Component condition
150|1|120|120|Hub components
150|2|120|120|Hub components
151|1|150|120|Brake linings
151|2|150|120|Brake linings
152|1|150|120|Brake pads
152|2|150|120|Brake pads
153|1|150|120|Brake drums
153|2|150|120|Brake drums
154|1|150|120|Brake discs
154|2|150|120|Brake discs
155|1|150|120|Brake back plates
155|2|150|120|Brake back plates
156|1|150|120|Reaction bracket
156|2|150|120|Reaction bracket
157|1|150|120|Brake calipers
157|2|150|120|Brake calipers
162|1|120|120|Performance
162|2|120|120|Performance
163|1|162|120|Roller brake test
163|2|162|120|Roller brake test
164|1|162|120|Plate brake test
164|2|162|120|Plate brake test
165|1|162|120|Floor test
165|2|162|120|Floor test
166|1|162|120|Gradient
166|2|162|120|Gradient
167|1|171|120|Roller brake test
167|2|171|120|Roller brake test
168|1|171|120|Plate brake test
168|2|171|120|Plate brake test
169|1|171|120|Floor test
169|2|171|120|Floor test
170|1|171|120|Gradient
170|2|171|120|Gradient
171|1|120|120|Performance (sp)
171|2|120|120|Performance (sp)
172|1|0|172|Motorcycle tyres and wheels
172|2|0|172|Motorcycle tyres and wheels
173|1|172|172|Tyres
173|2|172|172|Tyres
174|1|173|172|Fitment
174|2|173|172|Fitment
175|1|173|172|Condition
175|2|173|172|Condition
176|1|173|172|Valve stem
176|2|173|172|Valve stem
178|1|162|120|Decelerometer test
178|2|162|120|Decelerometer test
179|1|171|120|Decelerometer test
179|2|171|120|Decelerometer test
182|1|172|172|Wheels
182|2|172|172|Wheels
183|1|182|172|General condition
183|2|182|172|General condition
184|1|182|172|Spoke
184|2|182|172|Spoke
185|1|182|172|Built up wheel
185|2|182|172|Built up wheel
186|1|182|172|Attachment
186|2|182|172|Attachment
187|1|186|172|Front
187|2|186|172|Front
188|1|186|172|Rear
188|2|186|172|Rear
189|1|182|172|Distortion
189|2|182|172|Distortion
190|1|182|172|Rear wheel rotation
190|2|182|172|Rear wheel rotation
195|1|0|195|Motorcycle sidecar
195|2|0|195|Motorcycle sidecar
196|1|195|195|Lights (old)
196|2|195|195|Lights (old)
197|1|196|195|Position lamps
197|2|196|195|Position lamps
198|1|197|195|Sidecar front
198|2|197|195|Sidecar front
199|1|197|195|Sidecar rear
199|2|197|195|Sidecar rear
200|1|196|195|Directional indicators
200|2|196|195|Directional indicators
201|1|196|195|Rear reflectors
201|2|196|195|Rear reflectors
202|1|195|195|Attachment
202|2|195|195|Attachment
203|1|195|195|Suspension
203|2|195|195|Suspension
204|1|195|195|Wheels
204|2|195|195|Wheels
205|1|195|195|Tyres
205|2|195|195|Tyres
206|1|195|195|Wheel bearing
206|2|195|195|Wheel bearing
207|1|195|195|Shock absorber
207|2|195|195|Shock absorber
208|1|195|195|Wheel alignment
208|2|195|195|Wheel alignment
209|1|195|195|Condition of structure
209|2|195|195|Condition of structure
212|1|204|195|General condition
212|2|204|195|General condition
213|1|204|195|Spoke
213|2|204|195|Spoke
214|1|204|195|Built up wheel
214|2|204|195|Built up wheel
215|1|204|195|Attachment
215|2|204|195|Attachment
216|1|204|195|Distortion
216|2|204|195|Distortion
